Date : 2022-03-23 23:43:06
Directory : /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts
Total : 138 files,  3368 codes, 4 comments, 644 blanks, all 4016 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        138 |      3,368 |          4 |        644 |      4,016 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/SimpleSpawnPoint.cs                                   | C#       |          9 |          0 |          1 |         10 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/SlidingTile.cs                                        | C#       |         52 |          0 |         13 |         65 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/StalkerEnemy.cs                                       | C#       |         16 |          0 |          5 |         21 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Symbol.cs                                             | C#       |         33 |          0 |          8 |         41 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/TileSubscriber.cs                                     | C#       |          8 |          0 |          1 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Wall.cs                                               | C#       |         25 |          0 |          5 |         30 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Waypoint.cs                                           | C#       |          9 |          0 |          1 |         10 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/WaypointEnemy.cs                                      | C#       |         13 |          0 |          3 |         16 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/WaypointsEnemySpawnPoint.cs                           | C#       |         23 |          1 |          5 |         29 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/GameInstaller.cs                                                | C#       |         66 |          0 |         13 |         79 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/GameWorld/Loader/GameWorldLoader.cs                             | C#       |         47 |          0 |          8 |         55 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/GameWorld/Loader/Interface/IGameWorldLoader.cs                  | C#       |         10 |          0 |          0 |         10 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/GameWorld/World/GameplayWorld.cs                                | C#       |        173 |          0 |         28 |        201 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/GameWorld/World/Interface/IGameWorld.cs                         | C#       |         12 |          0 |          4 |         16 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Level/Creator/Interface/ILevelCreator.cs                        | C#       |         21 |          0 |          7 |         28 |
